楚楚的生日在三月三十日，请问是哪年的三月三十日？,每年的三月三十
冬瓜、黄瓜、西瓜、南瓜都能吃，什么瓜不能吃？ ,傻瓜 
盆里有6只馒头，6个小朋友每人分到1只，但盆里还留着1只，为什么？ ,最后一个小朋友把盆子一起拿走了 
你能以最快速度，把冰变成水吗？,把“冰”字去掉两点，就成了“水”。
冬天，宝宝怕冷，到了屋里也不肯脱帽。可是他见了一个人乖乖地脱下帽，那人是谁？,理发师 
老王一天要刮四五十次脸，脸上却仍有胡子。这是什么原因？ ,老王是个理发师 
有一个字，人人见了都会念错。这是什么字？,这是“错”字
小华在家里，和谁长得最像？,自己
鸡蛋壳有什么用处？,用来包蛋清和蛋黄。
不必花力气打的东西是什么？,打哈欠 
什么人始终不敢洗澡?,泥人
"小明从不念书却得了模范生,为什么?",小明是聋哑学生 
什么车子寸步难行? ,风车 
哪一个月有二十八天? ,每个月都有28天 
你知道上课睡觉有什么不好吗? ,不如床上舒服嘛 
什么蛋打不烂，煮不熟，更不能吃? ,考试得的零蛋"0" 
"火车由北京到上海需要6小时,行使3小时后,火车该在什么地方? ",在车轨上 
什么路最窄? ,冤家路窄
 什么东西不能吃？ ,“东西”方向 
一个人从飞机上掉下来，为什么没摔死呢？ ,飞机停在地上 
一年四季都盛开的花是什么花? ,塑料花 
什么英文字母最多人喜欢听?,CD 
什么人生病从来不看医生? ,盲人 
"小明知道试卷的答案,为什么还频频看同学的? ",小明是老师 
用铁锤锤鸡蛋为什么锤不破？ ,铁锤当然不会破了 
拳击冠军很容易被谁击倒？,瞌睡虫 
什么事天不知地知，你不知我知？,鞋底破了
一个人在沙滩上行走，但在他的身后却没有发现脚印，为什么? ,他在倒着走 
一位卡车司机撞倒一个骑摩托车的人，卡车司机受重伤，摩托车骑士却没事，为什么？,卡车司机当时没开车 
早晨醒来，每个人都要做的第一件事是什么？,睁开眼睛 
你能用蓝笔写出红字来吗? ,写个“红”字有何难 
"汽车在右转弯时,哪只轮胎不转? ",备用胎
孔子与孟子有什么区别? ,孔子的子在左边，孟子的子在上边 
为什么小王从初一到初三就学了一篇课文？,初一到初三，两天学一课，算不错了！ 
一个人空肚子最多能吃几个鸡蛋？,一个。因为吃了一个后就不是空肚子了
当哥伦布一只脚迈上新大陆后，紧接着做什么？,迈上另一只脚 
毛毛虫回到家，对爸爸说了一句话，爸爸即场晕倒，毛毛虫说了什么话？ ,毛毛虫说：“我要买鞋。” 
飞机从天上掉下来，为什么没有一个受伤的？,全都死了 
太平洋的中间是什么？,是平字 
世界上最小的岛是什么？ ,马路上的安全岛 
把一只鸡和一只鹅同时放在冰箱里，为什么鸡死了鹅没死？ ,企鹅嘛 
四个人在一间小屋里打麻将（没有其他人在看着），这时警察来了，四个人都跑了，可是警察到了屋里又抓到一个人，为什么？,四个人在屋里打一个叫“麻将”的人，警察抓到的是他 
万兽大王是谁？ ,动物园园长 
什么样的人死后还会出现？ ,电影中的人
专爱打听别人事的人是谁？,记者 
谁说话的声音传得最远？ ,打电话的人 
什么东西的制造日期和有效期是同一天？,日报
小咪昨晚花了整整一个晚上在历史课本上，可第二天妈妈还是骂她不用功，为什么？ ,她用历史课本当枕头睡 
能否用树叶遮住天空？,只要用树叶盖住眼睛
一头牛，向北走10米，再向西走10米，再向南走10米，倒退右转，问牛的尾巴朝哪儿？ ,朝地 
为什么黑人喜欢吃白色巧克力？,害怕咬到自己的手 
把8分成两半，是多少？,0
口吃的人最吃亏的是？,打国际长途电话 
什么东西使人哭笑不得？,口罩
身份证掉了怎么办？,捡起来 
有个人走独木桥，前面来了一只老虎，后面来了只熊，这个人是怎么过去的？ ,晕过去了 
监狱里关着两名犯人，一天晚上犯人都逃跑了，可是第二天看守员打开牢门一看，里面还有一个犯人？ ,逃跑的犯人名字叫“都” 
小明的妈妈有三个儿子，大独生子叫大明，二儿子叫二明，三儿子叫什么？,当然叫小明
猫见了老鼠为什么拔腿就跑？ ,跑去捉老鼠 
大象的左边耳朵象什么？,右边耳朵 
针掉到大海怎么办,再买一颗
有一个人走在沙滩上，回头却看不见自己的脚印，为什么？ ,因为他倒着走 
一只候鸟从南方飞到北方要用一个小时，而从北方飞到南方则需二个半小时，为什么呢？ ,两个半小时不就是一个小时吗 
什么人骗别人也骗自己?,骗子
李先生到16层楼去谈生意，但他只乘电梯到14层楼，然后再步行爬楼梯上去，为什么？ ,李先生个子太矮，按不到16楼的电梯按键
一个小孩和一个大人在漆黑的夜晚走路，小孩是大人的儿子，大人却不是小孩的父亲，请问为什么？ ,因为他们是母子关系
什么字全世界通用？ ,阿拉伯数字 
一个人的前面放了一本又厚又宽的大书，他想跨过去可怎么也跨不过去，你知道这是什么原因吗？ ,因为书就放在墙角 
人的长寿秘诀是什么？,保持呼吸，不要断气 
什么时候看到的月亮最大？,登上月球时 
什么事睁一只眼闭一只眼比较好？,射击 
为什么刚出生的小孩只有一只左眼睛? ,人本来就只有一只左眼睛
哪颗牙最后长出来？, 假牙 
房间里着火了，小明怎么也拉不开门，请问他后来是怎么出去的？ ,推开门 
蓝兰并没生病，但她整个晚上嘴巴一张一合？ ,她吃瓜子 
什么最会弄虚做假？,魔术师 
有两个面的盒子吗？,有!里面和外面
铁放在屋外露天会生锈，那么金子呢？ ,会被偷走 
拿鸡蛋扔石头，为什么鸡蛋没破？ ,左手拿蛋右手扔石头，鸡蛋怎么会破? 
“新华字典”有多少个字？ ,四个 
超人和蝙蝠侠有什么不同？ ,一个内裤穿里面，一个穿外面
什么人心肠最不好? ,得胃肠炎的人.
客人送来一篮草莓，贝贝吵着要吃草莓。可妈妈偏说家里没有草莓为什么 ,客人送来的只是一幅画 
从来没见过的爷爷他是什么爷爷？,老天爷 
对父子去打猎，他们每人达了一只野鸭 ，但是总共却只有3只，为什么？,祖孙3人 
一个病人到医院去做健康检查，为什么医生说：“你离我远一点”请问这 病人得了什么病？ ,斗鸡眼
什么东西没吃的时候是绿的，吃的时候是红的，吐出来的是黑的？ ,西瓜
为什么太阳天天都比人起的早？ ,因为：人比太阳睡的晚！ 
一只狼钻进羊圈，想吃羊，可是它为啥没吃又没吃羊？ ,因为：羊圈里没有羊！ 
有卖的，没买的，每天卖了不少的。 ,门坎 
什么船最安全? ,停在海滩里的船 
山坡上有一群羊，来了一群羊。一共有几群羊？ ,还是一群呀！
想把梦变成现实，第一步应该干什么？,起床。
大熊猫一生中的最大遗憾是什么？ ,没有彩色照片
下雨了，大家都急着回家，可有一个人却不紧不慢地走着（他没撑雨伞） 有人问他为什么不赶紧回家，他说了一句话，使那人晕了过去，请问他说 了什么话？,“急什么，前面还不是有雨！” 
老板从来不会烧菜，可他每天都会烧相同的一道菜，请问这是什么菜？ ,“炒鱿鱼” 
读书人最难堪的事是什么？,想买一本书时，猛然发现包里没钱
哥哥买了3袋米，弟弟买了2袋米，回家后他们把米放在1只大袋里， 现在他们有几袋米？ ,1袋米
小明考了100分，为什麽哭了？ ,乐哭的 
"小王是一名优秀士兵,在站岗值勤时,明明看到有敌人悄悄向他摸过 来,为什么他却睁一只眼闭一只眼? ",他在瞄准敌人
为什么彤彤与壮壮第一次见面就一口咬定壮壮是喝羊奶长大的?,壮壮是一只羊 
 有一种东西，上升的时候同时会下降下降的同时会上升，这是什么？ ,跷跷板 
做什么事要从头来。,剃头 
有一只公鸡在屋顶上下蛋，你说鸡蛋会从左边掉下还是右边？,公鸡不会下蛋 
大力士永远也举不起的东西是什么？,他（她）自己 
为什么青蛙跳得比树高,树不会跳 
三心二意的人是什么人？,多心的人，因为那个人有三颗心.
厘米长的红螃蟹和30厘米长的黑螃蟹比赛跑步，谁会赢？ ,黑螃蟹。因为红螃蟹是煮熟的。 
元帅比将军高一个等级，什么时候元帅和将军平等？ ,下象棋
什么东西掉进水里不会湿？,影子。
小王是个司机，有一天开车出了车祸，当警察赶到时，发现车上有一个死人，小王确说不管他的事，为什么？,小王开的是灵车 
什么动物天天熬夜？ ,熊猫，它熬得眼圈都黑了。 
一头小猪卖200元，为什么两头小猪却可以卖几万元人民币？,因为长了两个头的小猪实在罕见。
"一个人,一只船,一只狗,一只兔子,一棵白菜,这个人要把这三样东西,运到 河那边,先送那两个？ ",先送狗和白菜 
什么人最喜欢别人叫他滚 ,监狱里的人 
用什么拖地最干净?,用力 
人为什么喜欢往上爬？,因为人是猴子变的。
大象的长鼻子是怎么长成的？ ,出生时就有。
 一艘船最多能承受50个人，现在已经坐了49个人了，又来了一个人，那艘 船却沉了，为什么？,因为那是潜水艇 
桌子上有一个蜡烛和一个煤油灯，请问先点哪一个？,火柴 
"动物园的大象死了,为什么管理员哭得死去活来?","因为他想到挖这么大的坑,可能会累死. "
为什么现在的猴子越来越少了？,都变成人了。 
小明整天说个不停，为什么今天一句话不说了？, 因为他嗓子哑了
为什么新买的袜子有两个洞？,要不然怎么穿 
小东上课睡觉，老师却不说他，为什麽？,老师没看见 
为什么一匹大青马掉进饭碗里淹死了？,一只蛐蛐的昵称 
抓到什么贼后可以马上处死刑？,乌贼 
一只毛毛虫（八只脚）走上一堆牛粪，下地以后却发现只有六只脚印，为 什么？, 牛粪很臭，两只脚捏住鼻子了
大雁为什么向南飞？,  以为走的太慢了，就飞啊 
" 有一座桥只能乘重70公斤，一个人重65公斤，他要带两个分别重2.6公斤 的球过桥,没借用任何东西就从桥上把两个球带了过去,他是怎么过去? ","抛起一个球,待它要落下的时候把另一个抛起. "
平时吃晚饭都是爸爸洗碗，可今天爸爸为什么吃完饭却不洗碗？,今天在饭馆里吃的饭 
有一只毛毛虫要过河，前面没有桥，问它是怎么过去的,变成蝴蝶飞过去 
什么动物你打死了它，却流了你的血？, 蚊子
一根生锈的绣花针，在7月7日7时7分7秒，浩月当空之时，扔到云南饵海中将会发生什么反应？, 掉到海底 
什么筋伤了不能贴膏药？, 伤脑筋。
打破了什么人人都叫好？,世界纪录 
一个人掉到海里，为什么他的头发没有湿？,因为他是光头 
什么东西人们都不想要？, 病。
森林中有十只鸟，小明开枪打死了一只，其它九只却都没有飞走，为什 么？, 鸵鸟
 你每天都能看见的最大的影子是什么? ,"黑夜,地球的影子"
积木倒了要重搭，房子倒了要怎样？,要逃命 
熊为什么冬眠时会睡这么久？,因为没人敢叫它起床 
有一个小圆孔的直径只有1厘米，而一种体积达100立方米的物体却能顺利 通过这个小孔，那么它是什么物体呢？, 水
明从六楼向下跳，为什么还没有受伤？,他转身向房间里跳的。 
上课时，老师问同学：“没有人类及动物居住的地球是什么呢？”小名很 快便答对了。你知道他的答案是什么吗？,地球仪 
什么地方盛产安哥拉兔毛？,安哥拉兔身上 
为什么金鱼看上去老是傻乎乎的？,它脑袋里灌水了。
 一个老爷爷要过桥，前面是狼，后面是虎，老爷爷该怎么 办？ ,晕过去 
你爷爷的儿子的爸爸的妈妈的姑姑的小姨的叔叔的大伯跟你是什麽关系? ,亲戚! 
"一个长方体盒子,有8个角,8条边,请问这个长方体盒子从中剪切开,还剩几 个角,几条边?","还有8个角,8条边! "
读一年级的东东没有学过外文，为什么也会写外国字？,他写的是阿拉伯数字
 是黑鸡厉害还是白鸡厉害？, 黑鸡。因为黑鸡会下白蛋，白鸡不会下黑蛋！ 
为什么老师一看到小宝就知道他爸爸是左撇子？ , 因为他的右脸上有五道痕。 
"你打死了一个动物,为什么流的是自己的血",因为打死了一只正在吸自己血的蚊子 
有一个东西，你能用左手拿，不能用右手拿，这东西是什么。,  自己的右手 
螳螂请蜈蚣和壁虎到家中做客，烧菜的时候发现酱油没了饿，蜈蚣自告 奋勇出去买，却久久未会，究竟发生了什么事？,打开门后，发现蜈蚣还坐在门口穿鞋 
什么人重来不洗头发？, 和尚 
" 一只狗和一只青蛙比赛游泳平常都是青蛙游的快,为什么在一次比赛中狗 赢了? "," 因为当时的比赛规则是之许用狗刨,不许用蛙泳! "
小伟的书包里藏着一个鸭蛋，他为什么不肯拿出来交给妈妈做菜？,那是考卷上的“大鸭蛋 
人死了为什麽要闭眼睛？,  因为睁着眼睛会吓死人的！ 
黑手党为什么喜欢戴白手套？ ,因为手太黑。
国歌一共有几个字,两个 
一块天然的黑色大理石，在一月一日扔入太平洋，会发生什敏麽？,大理石沉入太平洋 
有5只小蚂蚁，每只小蚂蚁都说它身后还有1只小蚂蚁，为什么？ ,有只小蚂蚁在说谎 
 什么牛不吃草？,蜗牛
老师说：“我们的身体里有106块骨头”，可是，小明说：“他身体里有 107块骨头”，这是为什么？,因为小明不小心吃下一块鱼骨头。
"什么书既没有作者,也没人能读懂?",当然是天书啦! 
一个人一年中哪一天睡觉时间最长？,一年中的最后一天，因为他跨越到第二年。
自找苦吃的地方是哪儿？,药房 
 一间牢房关了两个犯人，其中一个因偷窃要关一年，另一个是强盗杀人犯 却只关两个星期，为什么？,强盗杀人犯被拉出去枪毙啦 
你怎样才能把你的左手全部放入你身上右边的裤袋内，而同时又把你的右 手全部放入左边的裤袋内？ ,把裤子前后反着穿 
  5只鸡5天生了5个蛋。100天内要100个蛋，需要多少只鸡？,仍然仅需5只鸡
什么东西越剪越大？ ,洞
网是用什么做成的？,用一个个洞做成的。
没完成作业怎么办？,问老师啊，作业是老师留的
仪式 牧师主持过各种各样的仪式，可是有一种却是他无法主持的。请问是什 么？,自己的葬礼。
考试 在一次监察严密的考试中，有两个学生交了一模一样的考卷。 主考官发 现后，却并没有认为他们作弊，这是什么原因？,他们都交的白卷。
吃草 草地上画了一个直径十米的圆圈，内有牛一头，圆圈中心插了一根木桩。 牛被一根五米长的绳子栓着，如果不割断绳子，也不解开绳子，那么此牛 能否吃到圈外的草？ ,能，因为题中并没说牛被栓在木桩上。 
 你知道为什么鱼只生活在水里，而不生活在陆地上吗？,陆地上有猫 
有两个硬币，是五角五分，其中一个不是五角，那是哪两个硬币？,就是五角和五分，五角当然不是五分啦！
你知道稀饭贵还是烧饼贵？,稀饭。物以稀为贵 
什么时候是摘苹果的最好时机 ,苹果熟了的时候 
"有一个人口袋里有五元钱,掉了五元钱口袋里还剩下什么东西？",一个洞
小明今年12岁，为什么只过了三次生日？,生日是2月29日
为什么人要拿头撞豆腐?,因为豆腐不会撞头
"小明每天都吃一个师傅,他是怪兽吗？ ",吃康师傅嘛! 
"小王刷了一早上的口,为什嬷别人还是说他口臭","因为小王爱骂人,所以别人说他口臭 "
小力把一个鸡蛋扔到2米多处还没碎，为什么？ ,因为鸡蛋被扔到2米多处的时候还没落地。
两个人去陆菅，晚上睡在帐篷里。不久其中一个人醒来叫醒另一 人。问你看到天上的星星。你会想到什么？ , 账蓬被人偷走了。 
"一根长棍子(不准弄断),那怎样才能使它变短?", 拿一根更长的棍子和它一比不就短了吗. 
为什么先看见打闪后听见打雷。,因为眼睛长在前面 
什么路人们最不敢走?,绝路 
什么人敢在皇帝的头上胡作非为？,理发师 
"什么官,不发工资,却要给别人钱,还要陪笑脸？",新郎官 
一个挖好的长6米、宽7米、高8米的坑里有多少土？,已经挖好，所以没有土！
在中国，哪个村庄最大？,石家庄 
马在哪里不需腿也能走？,象棋盘上 
美国总统是怎么进皇宫的?, 从大门进去的 
"一个数去掉首位是13,去掉末位是40.请问这个数是几? ", 四十三 
我们都知道把一只大象放进冰箱里分三步：1把冰箱门打开；2把大象放进 去；3把冰箱门关上。 那么，请你把长颈鹿放进冰箱里分几步？, 四步：1把冰箱门打开；2把大象拿出来；3把长颈鹿放进去；4把冰箱门关上。
有一天老张去集市买小鸡，转了半天买了10只公鸡10只母鸡，回家的路上，不知道想了什么 赶紧有跑到集市上买了5只公鸡5只母鸡为什么？,喂小米啊 
什么样的钉子最可怕？,眼中钉。 
"杰克跑的最快,为什么他的长官还要批评他. ",逃跑 
小芬对小芳说：“后天的大前天的后天，也就是昨天的昨天的大后天 是我的生日，请来参加我的生日会。”小芳应该什么时候赴约呢？ , 是明天赴约。
一个人，他感觉地球在站动，为什么？,他喝醉酒了。 
"从前有三个人，一个是罗锅，一个是摇头，一个是瘸腿，有一天，他们三 个过一座桥，这个不让罗锅.摇头.瘸腿,这三个人的病不许过,你帮他们想 个办法让他们过去。", 罗锅先放一个蛐蛐，然后罗锅说蛐蛐，摇头就在那要头说：“哪呢？哪呢？”最后，瘸腿说：“这呢？这呢？” 
什么人喜欢天天下雨,制造雨伞商 
哪座桥不能开车也不能走人？,郑板桥 
"有人说'吃鱼可避免患近视眼',为什么? ",你看过猫戴眼镜吗? 
一双鞋卖16元，一只鞋卖多少钱？,不卖。
 哈巴狗去掉尾巴最像什么动物？ 睡觉前要做什么事？,哈巴狗 闭上眼睛 
小华的爷爷有7个儿子，每一个儿子又各有一个妹妹，请问：小华的 爷爷有多少个儿女？,  8个，女儿是最小的。
地上掉了一张5元的和一张50元的钞票，你看见了会捡哪一张？,两张都捡 
 将军为什么不用出城做战？,在下象棋。
 世界上谁的头力气最大？,火车头 
什么东西最能让人满足？,袜子 
青蛙和狗比赛游泳，为什么狗赢了？,因为它们比赛的是狗刨式游泳。 
天最顶上是什么？,是“一” 
奶牛天天挤奶，它还有奶这是为什么？？？？,喂草呗 
 什么狗身上湿淋淋的？, 落水狗。 
 能使竹篮提水不一场空的最好办法是什么？,提冰唦。
两个口是吕，三个口是品，那也四个口、五个口分别是什么字？,田、吾 
小明放学回家对妈妈说：“家里有一个地方，我想坐就坐，而你却不能坐”你知道这是什么地方？ ,妈妈的膝盖上 
 一个人有一个，全国12亿人只有12个，这东西是? ,12生肖 
"乌龟梦见自己中了一百元大奖,醒来梦想成真,它接下去该怎么办? ",再睡一觉
一个商人破产了，有半数朋友不认识他了，为什么？ , 因为还有一半朋友不知道他破产了。
每个成功男人背后有一个女人，那一个失败的男人背后会有什么？,有太多的女人
在什么时候更确定自己是中国人？,外语考试的时候
一只蚂蚁从几百万米高的山峰落下来会怎么死？,饿死
一天晚上，A君在家读一本有趣的书，他的妻子把电灯关了。尽管屋内漆黑一团，A君仍然手不释卷，读的津津有味。这是什么道理？,A君是盲人，他读的是盲文书
王先生在打太极拳时金鸡独立，站多久看上去都那么轻松，为什么？,因为他在照片里
李主任早上刷牙的时侯一边刷一边大声唱歌，他是怎么做到的？,他刷的是假牙
"有个地方发生了火灾，虽然有很多人在救火,但就是没人报火警,奇怪吧?",消防队着火了
马路上发生车祸碰撞事件，当警察立刻赶往时虽然司机全力相助，一人却已死亡。依司机的说法，此人并非死于车祸，而是因肺癌丧命。因同坐车的只有司机和死者二人，根本没有目击者；但是，警察却立刻明白，司机并没有说谎。这是为什么？,司机是以灵柩车运送这位死于肺癌的人
一架空调器从楼掉下来会变成啥器？,凶器
 纸上写着某一份命令。但是，看懂此文字的人，却绝对不能宣读命令。那么，纸上写的是什么呢？,不要念出此文
为什么青蛙可以跳得比树高？,因为树不会跳
什么情况一山可容二虎？,一公一母
什么东西肥得快，瘦得更快？?,气球
至少要多少时间才能读完清华大学? ,几秒
一种东西，东方人的短，西方人的长，结婚后女的就可以用男的这东西，和尚有但是不用它 ,名字
什么东西有两个脑袋六条腿，一根尾巴七双手，还会边走边叫？,怪物
对于男人来说，能够娶到一位贤淑的妻子，当然是一大福分；要是娶到一个恶妻呢？ ,可以成为哲学家
什麽东西放进去以前是干的，拿出来时是湿的，而且还给人以温热的满足感？ ,袋泡茶
汽球内有空气，那游泳圈内有什么？ ,人
能够使我们的眼睛透过一堵墙的是什么？ ,窗户
将100颗绿豆和100颗黄豆混在一起又一分为二，需要几次才能使A堆中黄豆和B堆中的绿豆相等呢？,一次
"一根又黑、又粗、又硬的棍子插进洞里，感觉暖烘烘的,等到抽出來以后，客人就要付钱啦（一种行业）",烤甘蔗
耶稣是哪一国人？ ,天国
什么笔不能写? ,试电笔
爱看斗牛。（打一非洲地名）,好望角
一个男人加一个女人会成了什么？ ,两个人
两个女人与一千只鸭子所说的话有何相似性呢？ ,无稽(鸡)之谈
一个最贪玩的小孩最喜欢什么课,下课
街上那么多的人是从哪来的,各自的家中
你知道不可救药的成语是如何产生的吗,当药店发生火灾时只能先救人再救药
什么动物即没有祖先又没有子孙,骡子
喝牛奶时用哪只手搅拌会比较卫生,用那只手都不卫生还是用勺子好.
雨天什么伞不能打,降落伞
什么飞机常常没有明确的目的地,纸飞机
"酒喝多了伤人,不喝呢",伤心
姑妈送给小花一只小猫，这只小猫没有死掉，也没有跑掉，小花也没有把它送人，为什么三个月后姑妈来小花家在没有看见小猫？ ,它已长成大猫了
"小王和小张两家 50M,两家又没有电话,小王想找小张又不想出门,怎么办 答案：小王可以喊小张
为什么兰兰总喜欢旧东西",因为他是一个古董收藏家
三加三得几(打一字)？,田
欧美人就餐头一道菜是汤，你知道汤里经常会有什么吗？,盐
黑人吃黑的东西叫什么？,黑吃黑
"小明睡觉的时候,妈妈最怕什么",小明尿床
一只毛毛虫（八只脚）走上一堆牛粪，下地以后却发现只有六只脚印，为 什么？,牛粪很臭，两只脚捏住鼻子了 
大雁为什么向南飞,以为走的太慢了，就飞啊
"有一座桥只能乘重70公斤，一个人重65公斤，他要带两个分别重2.6公斤 的球过桥,没借用任何东西就从桥上把两个球带了过去,他是怎么过去?","抛起一个球,待它要落下的时候把另一个抛起."
平时吃晚饭都是爸爸洗碗，可今天爸爸为什么吃完饭却不洗碗？,今天在饭馆里吃的饭
有一只毛毛虫要过河，前面没有桥，问它是怎么过去的,变成蝴蝶飞过去
什么动物你打死了它，却流了你的血？,蚊子
一根生锈的绣花针，在7月7日7时7分7秒，浩月当空之时，扔到云南饵海中将会发生什么反应？,掉到海底
什么筋伤了不能贴膏药？,伤脑筋。
用什么拖地最干净?,用力
什么人最喜欢别人叫他滚,监狱里的人
人为什么喜欢往上爬？,因为人是猴子变的。
大象的长鼻子是怎么长成的？,出生时就有。
一艘船最多能承受50个人，现在已经坐了49个人了，又来了一个人，那艘 船却沉了，为什么？,因为那是潜水艇
桌子上有一个蜡烛和一个煤油灯，请问先点哪一个？,火柴
"动物园的大象死了,为什么管理员哭得死去活来?","因为他想到挖这么大的坑,可能会累死."
为什么现在的猴子越来越少了？,都变成人了。
小明整天说个不停，为什么今天一句话不说了？,因为他嗓子哑了。
为什么新买的袜子有两个洞？,要不然怎么穿
小东上课睡觉，老师却不说他，为什麽？,老师没看见
为什么一匹大青马掉进饭碗里淹死了？,一只蛐蛐的昵称
金木水火土 哪个腿最长,火，因为火腿肠[长]
"十颗树排五行每行排四颗,怎么排？",按照五角星的交叉点排！
说：一个老牛伯伯边唱歌边刷牙，却把牙刷得很干净，请问这是为什么？一秒钟回答！,假牙
一个屋子，你在里面别人敲门不用说请进的地方是哪？,厕所
世界上什么人一下子变老? ,"新娘.因为今天是新娘,明天是老婆."
一颗心值多少钱? ,1亿.因为一心一意嘛!
台风天气要带多少钱才能出门?,四千万.因为台风天气没"事千万"不要出门.
"要考试了,不能看什么书?",百科全书(百科全输).
如果明天就是世界末日，为什么今天就有人想自杀？,去天堂占位置 
提问：布和纸怕什么？,布怕一万，纸怕万一。
提问：铅笔姓什么？,萧，原因：削(萧)铅笔。
提问：麒麟到了北极会变成什么？,冰淇凌。
提问：从1到9哪个数字最勤劳，哪个数字最懒惰？,1懒惰；2勤劳， 原因：一(1)不做二(2)不休。
提问：怎样使麻雀安静下来？,压它一下。原因：鸦雀无声(压雀无声)。 
